sampleid,oils,ketones,acetate,phenols,quantity0,soluble_mixture,length,maceration time,quantity1,ingredient1,ingredient0,soluble_components,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,quantity2,quantity3,quantity4,quantity5,quantity6,quantity7,quantity8,quantity9,quantity10,quantity11,quantity12,quantity13,quantity14,quantity15,quantity16,quantity17,PROPERTY:Diffusion Rate (10^6),PROPERTY: Staining Factor,PROPERTY: color wavelength,PROPERTY: color,PROPERTY: Survey Results
PER58-100,6,0,1,2,91.23,8.77,9,83,6.56,WATER,ETHYL ALCOHOL,2.21,LEVISTICUM OFFICINALE LEAF OIL,FOENICULUM VULGARE CAPILLACEUM FRUIT OIL,CYMBOPOGON NARDUS HERB OIL,CITRUS SINENSIS VALENCIA PEEL OIL EXPRESSED,BAROSMA BETULINA LEAF OIL,THUJOPSIS DOLABRATA LEAF OIL,CYCLOHEXYL CYCLOPENTENEACETATE,"2-HEXYL-1,3-DIOXANOL",ISOPROPYLCYCLOHEXANOL,,,,,,,,0.05986456,0.359187359,0.224492099,0.344221219,0.084808126,0.039909707,0.434018059,0.389119639,0.274379233,,,,,,,,4100.493129,0.28,609.9806088,orange,91
PER85-213,6,1,1,3,91.25,8.75,11,44,6.54,WATER,ETHYL ALCOHOL,2.21,MYROCARPUS FRONDOSUS WOOD OIL,EUCALYPTUS SMITHII LEAF OIL,ARTEMISIA HERBA-ALBA HERB OIL,FOENICULUM VULGARE VULGARE FRUIT OIL,THYMUS SERPILLUM OIL,LAVANDULA SPICA HERB OIL,ISOPROPYL PHENYLACETATE,"2,6-DIMETHYL-4-HEPTANONE",4-METHYLPENTAN-2-OL,AMYL ALCOHOL,DIPROPYLENE GLYCOL,,,,,,0.017938312,0.348003247,0.197321429,0.21525974,0.22961039,0.100454545,0.312126623,0.125568182,0.287012987,0.16862013,0.208084416,,,,,,4129.146981,0.12,609.85,orange,80
PER99-92,7,0,0,3,91.24,8.76,10,64,6.55,WATER,ETHYL ALCOHOL,2.21,FOENICULUM VULGARE VULGARE FRUIT OIL,THUJA PLICATA LEAF OIL,OPOPANAX CHIRONIUM RESIN STEAM-DISTILLED OIL,COMMIPHORA ERYTHREA GLABRESCENS GUM OIL,CYPERUS SCARIOSUS ROOT OIL,FOENICULUM VULGARE FRUIT OIL ,IRIS PALLIDA ROOT OIL,2-DECENOL,ISOBUTYL LINALOOL,P-CRESOL,,,,,,,0.027567568,0.055135135,0.454864865,0.142432432,0.238918919,0.252702703,0.151621622,0.358378378,0.096486486,0.431891892,,,,,,,4137.23857,0.28,609.408875,orange,69
PER69-397,2,3,0,4,91.21,8.79,9,88,6.57,WATER,ETHYL ALCOHOL,2.22,MELILOTUS OFFICINALIS HERB OIL,HELICHRYSUM STOECHAS FLOWER OIL,METHOXYPHENYL-METHYLBUTANONE,2-FURYL METHYL KETONE,AMYLCYCLOPENTANONE,"6,8-DIMETHYL-2-NONANOL","ALPHA,ALPHA-DIMETHYL-VINYL-O-MENTHENEMETHANOL",CARVACROL,TETRAMETHYL-HEXADECATETRAEN-3-OL,,,,,,,,0.364846797,0.197883008,0.173147632,0.228802228,0.537994429,0.575097493,0.006183844,0.049470752,0.086573816,,,,,,,,4155.040833,0.23,609.0032013,orange,47
PER81-572,3,0,2,1,91.18,8.82,6,45,6.59,WATER,ETHYL ALCOHOL,2.23,MYROCARPUS FRONDOSUS WOOD OIL,ORMENIS MULTICAULIS FLOWER OIL,CINNAMOMUM CAMPHORA FORMOSANA LEAF OIL RECTIFIED,ISOPENTYL CYCLOHEXYL ACETATE,ETHYL LACTATE,"6,8-DIMETHYL-2-NONANOL",,,,,,,,,,,0.368992806,0.272733813,0.433165468,0.427817746,0.219256595,0.508033573,,,,,,,,,,,4187.5,0.17,608.5985203,orange,21
PER74-0,7,3,2,4,91.2,8.8,16,52,6.57,WATER,ETHYL ALCOHOL,2.23,ANETHUM SOWA SEED OIL,CINNAMOMUM CAMPHORA FORMOSANA LEAF OIL RECTIFIED,VERBENA OFFICINALIS LEAF RECTIFIED OIL,IRIS PALLIDA ROOT OIL,COMMIPHORA ERYTHREA GLABRESCENS GUM OIL,HELICHRYSUM STOECHAS FLOWER OIL,FOENICULUM VULGARE CAPILLACEUM FRUIT OIL,DIMETHYLBUTYL ACETATE,TRIMETHYLDODECATRIEN-3-YL ACETATE,TRANS-5-METHYL-2-HEPTEN-4-ONE,"3,4-DIHYDRO-6-METHYLNAPHTHALENONE",AMYLCYCLOPENTANONE,GUAIACOL,2-METHYLFURAN-3-THIOL,DIMETHYLPHENYL CARBINOL,CITROL,0.205929526,0.081287971,0.092126367,0.165285541,0.102964763,0.16799514,0.249283111,0.029805589,0.189671932,0.021676792,0.184252734,0.235735115,0.157156744,0.233025516,0.013547995,0.100255164,4197.220642,0.31,608.542475,orange,50
PER55-223,5,1,0,0,91.2,8.8,6,86,6.57,WATER,ETHYL ALCOHOL,2.23,FOENICULUM VULGARE VULGARE FRUIT OIL,SANTALUM SPICATA WOOD OIL,ORMENIS MULTICAULIS FLOWER OIL,EUCALYPTUS SPECIES LEAF OIL,JUNIPERUS MEXICANA WOOD OIL,3-BUTYL-4-METHYLPHENYL METHYL KETONE,,,,,,,,,,,0.537153285,0.374379562,0.642956204,0.089525547,0.244160584,0.341824818,,,,,,,,,,,4201.7,0.52,607.7171388,orange,31
PER71-179,6,1,1,2,91.19,8.81,10,89,6.58,WATER,ETHYL ALCOHOL,2.23,TRIGONELLA FOENUM-GRAECUM SEED OIL,SALVIA OFFICINALIS LAVANDULIFOLIA HERB OIL,LAVANDULA SPICA HERB OIL,ANETHUM SOWA SEED OIL,CITRUS PARADISI M. PEEL OIL EXPRESSED,LAVANDULA INTERMEDIA FLOWER/LEAF/STEM OIL,M-CRESYL ACETATE,CARVONE,CITROL,"2-HEXYL-1,3-DIOXANOL",,,,,,,0.409053254,0.101163708,0.29469428,0.013195266,0.387061144,0.153944773,0.365069034,0.224319527,0.233116371,0.048382643,,,,,,,4219.48,0.28,607.69,orange,61
PER34-346,6,2,0,4,91.17,8.83,12,84,6.59,WATER,ETHYL ALCOHOL,2.24,EUCALYPTUS SPECIES LEAF OIL,LAVANDULA INTERMEDIA FLOWER/LEAF/STEM OIL,COMMIPHORA SCHIMPERI GUM OIL,PIMENTA OFFICINALIS FRUIT OIL,FOENICULUM VULGARE FRUIT OIL ,THUJOPSIS DOLABRATA LEAF OIL,PENTAMETHYL-CYCLOPENT-1-ENYL METHYL KETONE,TRANS-5-METHYL-2-HEPTEN-4-ONE,PINACOL,NEROL,2-DODECENOL,DIMETHYLPHENYL CARBINOL,,,,,0.295135135,0.348108108,0.242162162,0.166486486,0.113513514,0.007567568,0.011351351,0.098378378,0.060540541,0.268648649,0.283783784,0.344324324,,,,,4241.81,0.31,607.1797,orange,34
PER100-488,3,0,1,2,91.11,8.89,6,48,6.63,WATER,ETHYL ALCOHOL,2.26,CINNAMOMUM CAMPHORA FORMOSANA LEAF OIL RECTIFIED,ROSMARINUS OFFICINALIS FLOWER OIL,PIMENTA OFFICINALIS FRUIT OIL,TRIMETHYLDODECATRIEN-3-YL ACETATE,TETRAMETHYL-4-METHYLENE-2-HEPTANOL,CARVACROL,,,,,,,,,,,0.202011173,0.233575419,0.45452514,0.511340782,0.366145251,0.492402235,,,,,,,,,,,4246.75,0.47,606.832,orange,66
PER23-99,3,0,1,1,91.09,8.91,5,86,6.64,WATER,ETHYL ALCOHOL,2.27,CYMBOPOGON NARDUS HERB OIL,CITRUS AURANTIUM LEAF OIL,THYMUS SERPILLUM OIL,PROPYL ACETATE,TETRAMETHYL-HEXADECATETRAEN-3-OL,,,,,,,,,,,,0.506148649,0.245405405,0.575168919,0.184054054,0.759222973,,,,,,,,,,,,4249.748,0.31,606.78,orange,59
PER75-102,6,1,1,2,91.07,8.93,10,13,6.65,WATER,ETHYL ALCOHOL,2.28,VITIS VINIFERA OIL,EUCALYPTUS SPECIES LEAF OIL,LEVISTICUM OFFICINALE LEAF OIL,ARTEMISIA HERBA-ALBA HERB OIL,OPOPANAX CHIRONIUM RESIN STEAM-DISTILLED OIL,JUNIPERUS MEXICANA WOOD OIL,ETHYL CYCLOHEXYLACETATE,METHYL THIAZOLYL KETONE,TRIMETHYLTRICYCLODODECANOL,GUAIACOL,,,,,,,0.212686567,0.34880597,0.119104478,0.365820896,0.025522388,0.238208955,0.382835821,0.302014925,0.12761194,0.15738806,,,,,,,4254.8,0.33,606.718,orange,93
PER40-82,7,1,1,2,91.05,8.95,11,43,6.67,WATER,ETHYL ALCOHOL,2.28,SALVIA OFFICINALIS LAVANDULIFOLIA HERB OIL,THUJA OCCIDENTALIS STEM OIL,RAVENSARA AROMATICA TWIG OIL,STYRAX TONKINENSIS RESIN OIL,MELILOTUS OFFICINALIS HERB OIL,CITRUS SINENSIS VALENCIA PEEL OIL EXPRESSED,PINUS PALUSTRIS TWIG LEAF OIL,ETHYL CYCLOHEXYLACETATE,2-CARENYL METHYL KETONE,DIPROPYLENE GLYCOL,GUAIACOL,,,,,,0.194634146,0.107247387,0.04369338,0.18271777,0.083414634,0.202578397,0.08738676,0.377351916,0.373379791,0.353519164,0.274076655,,,,,,4263.867,0.36,606.6382,orange,26
PER34-360,7,3,2,2,90.95,9.05,14,62,6.73,WATER,ETHYL ALCOHOL,2.32,THUJA PLICATA LEAF OIL,LEVISTICUM OFFICINALE LEAF OIL,PIMENTA OFFICINALIS FRUIT OIL,PINUS MUGO PUMILIO TWIG LEAF OIL,OPOPANAX CHIRONIUM RESIN STEAM-DISTILLED OIL,BAROSMA BETULINA LEAF OIL,EUCALYPTUS SPECIES LEAF OIL,5-MELOZOL ACETATE,TETRAHYDROMUGYL ACETATE,"METHYL 2,6,10-TRIMETHYLCYCLODODECA-2,5,9-TRIENYL KETONE",DIHYDROCARVONE,DIMETHYLCYCLOHEXYL METHYL KETONE,DIPROPYLENE GLYCOL,TETRAMETHYL-4-METHYLENE-2-HEPTANOL,,,0.037991266,0.101310044,0.11650655,0.243144105,0.131703057,0.245676856,0.16209607,0.238078603,0.200087336,0.149432314,0.210218341,0.065851528,0.177292576,0.240611354,,,4281.544,0.24,606.27,orange,56
PER28-216,4,1,2,3,90.92,9.08,10,61,6.75,WATER,ETHYL ALCOHOL,2.33,COMMIPHORA ABYSSINICA GUM OIL,FOENICULUM VULGARE VULGARE FRUIT OIL,LAVANDULA INTERMEDIA FLOWER/LEAF/STEM OIL,THUJA PLICATA LEAF OIL,CYCLOHEXYL CYCLOPENTENEACETATE,M-CRESYL ACETATE,HYDROXYCITRONELLAL DIMETHYL ACETAL,TRIMETHYL-VINYLTETRAHYDROFURAN-2-METHANOL,ISOBUTYL LINALOOL,SANTALOL,,,,,,,0.200862069,0.177906404,0.263990148,0.241034483,0.13773399,0.4591133,0.074605911,0.550935961,0.103300493,0.120517241,,,,,,,4285.15,0.42,605.907175,orange,76
PER93-629,3,0,1,0,90.94,9.06,4,69,6.73,WATER,ETHYL ALCOHOL,2.33,CINNAMOMUM CAMPHORA FORMOSANA LEAF OIL RECTIFIED,STYRAX TONKINENSIS RESIN OIL,CITRUS MEDICA ACIDA PEEL OIL EXPRESSED,ETHYL PALMITATE,,,,,,,,,,,,,0.531847826,0.633152174,0.747119565,0.417880435,,,,,,,,,,,,,4303.841,0.24,605.82,orange,49
PER67-316,5,2,2,3,90.91,9.09,12,53,6.75,WATER,ETHYL ALCOHOL,2.34,ROSMARINUS OFFICINALIS FLOWER OIL,SANTALUM SPICATA WOOD OIL,EUCALYPTUS SMITHII LEAF OIL,CYMBOPOGON NARDUS HERB OIL,COMMIPHORA MYRRHA GUM OIL,TRANS-DIHYDROPSEUDOIONYL ACETATE,CYCLOHEXYL CYCLOPENTENEACETATE,ISOPROPYL-METHYLBICYCLOHEXANONE,2-CARENYL METHYL KETONE,3-ETHYLPHENOL,TRIMETHYL-2-CYCLOHEXENOL,"2,6-DIMETHYL-4-HEPTANOL",,,,,0.2325,0.06375,0.13875,0.24,0.30375,0.31875,0.35625,0.1725,0.10125,0.18375,0.04875,0.18,,,,,4304.88,0.23,605.78,orange,22
PER100-292,6,2,1,1,90.87,9.13,10,13,6.78,WATER,ETHYL ALCOHOL,2.35,MELILOTUS OFFICINALIS HERB OIL,THUJOPSIS DOLABRATA LEAF OIL,ARTEMISIA HERBA-ALBA HERB OIL,THUJA PLICATA LEAF OIL,CINNAMOMUM CAMPHORA FORMOSANA LEAF OIL RECTIFIED,CITRUS MEDICA ACIDA PEEL OIL EXPRESSED,ETHYL PHENYLACETATE,4-METHYLPENT-3-EN-2-ONE,1-TRIMETHYL-2-CYCLOHEXENYL-1-PENTEN-3-ONE,"2,3,6-TRIMETHYLPHENOL",,,,,,,0.177459954,0.2097254,0.527002288,0.478604119,0.026887872,0.268878719,0.247368421,0.021510297,0.231235698,0.161327231,,,,,,,4308.658,0.35,605.6680125,orange,48
PER45-546,7,0,2,2,90.89,9.11,11,29,6.76,WATER,ETHYL ALCOHOL,2.35,EUCALYPTUS SMITHII LEAF OIL,EUCALYPTUS SPECIES LEAF OIL,STYRAX TONKINENSIS RESIN OIL,COMMIPHORA ERYTHREA GLABRESCENS GUM OIL,COMMIPHORA ABYSSINICA GUM OIL,SALVIA OFFICINALIS LAVANDULIFOLIA HERB OIL,MYROCARPUS FRONDOSUS WOOD OIL,M-CRESYL ACETATE,METHYL-OCTAHYDRO-DIMETHYLAZULENYLETHYL ACETATE,DIMETHYLPHENYL CARBINOL,DIPROPYLENE GLYCOL,,,,,,0.183174905,0.142965779,0.4378327,0.107224335,0.098288973,0.165304183,0.388688213,0.022338403,0.044676806,0.344011407,0.415494297,,,,,,4311.1836,0.65,605.2645,orange,47
PER51-631,4,1,2,2,90.88,9.12,9,89,6.77,WATER,ETHYL ALCOHOL,2.35,EUCALYPTUS SMITHII LEAF OIL,ARNICA MONTANA FLOWER OIL,COMMIPHORA MYRRHA GUM OIL,TRIGONELLA FOENUM-GRAECUM SEED OIL,M-CRESYL ACETATE,METHYL-OCTAHYDRO-DIMETHYLAZULENYLETHYL ACETATE,"METHYL 2,6,10-TRIMETHYLCYCLODODECA-2,5,9-TRIENYL KETONE",METHOXY-METHYLBUTANETHIOL,"2,6-DIMETHYL-4-HEPTANOL",,,,,,,,0.456791569,0.368735363,0.011007026,0.203629977,0.269672131,0.302693208,0.060538642,0.176112412,0.500819672,,,,,,,,4316.663,0.36,604.9776,orange,92
PER37-280,5,2,0,0,90.83,9.17,7,38,6.8,WATER,ETHYL ALCOHOL,2.37,TRIGONELLA FOENUM-GRAECUM SEED OIL,COMMIPHORA ERYTHREA GLABRESCENS GUM OIL,VITIS VINIFERA OIL,JUNIPERUS MEXICANA WOOD OIL,SANTALUM SPICATA WOOD OIL,PENTANEDIONE,1-TRIMETHYL-2-CYCLOHEXENYL-1-PENTEN-3-ONE,,,,,,,,,,0.006694915,0.548983051,0.455254237,0.629322034,0.307966102,0.120508475,0.301271186,,,,,,,,,,4325.22565,0.19,604.8110662,orange,27
PER56-242,4,1,1,2,90.78,9.22,8,8,6.83,WATER,ETHYL ALCOHOL,2.39,FOENICULUM VULGARE FRUIT OIL ,SANTALUM SPICATA WOOD OIL,HELICHRYSUM STOECHAS FLOWER OIL,PIMENTA OFFICINALIS FRUIT OIL,ETHYL PHENOXYACETATE,ETHYL PROPYL KETONE,"2-HEXYL-1,3-DIOXANOL",DIPROPYLENE GLYCOL,,,,,,,,,0.39229798,0.054318182,0.066388889,0.482828283,0.156919192,0.138813131,0.579393939,0.519040404,,,,,,,,,4338.26,0.37,604.679775,orange,31
PER2-450,4,3,2,1,90.77,9.23,10,78,6.84,WATER,ETHYL ALCOHOL,2.39,JUNIPERUS MEXICANA WOOD OIL,CYPERUS SCARIOSUS ROOT OIL,CITRUS PARADISI M. PEEL OIL EXPRESSED,HELICHRYSUM STOECHAS FLOWER OIL,ETHYL CYCLOHEXYLACETATE,ETHYL PALMITATE,3-BUTENYL PHENYL KETONE,CYCLOHEXYLCYCLOHEXANONE,1-ACETONAPHTHONE,METHOXY-METHYLBUTANETHIOL,,,,,,,0.00993763,0.298128898,0.437255717,0.183846154,0.442224532,0.198752599,0.024844075,0.228565489,0.288191268,0.278253638,,,,,,,4341.58,0.3,604.02,orange,33
PER42-267,6,2,0,1,90.71,9.29,9,27,6.87,WATER,ETHYL ALCOHOL,2.42,BAROSMA BETULINA LEAF OIL,VERBENA OFFICINALIS LEAF RECTIFIED OIL,EUCALYPTUS SPECIES LEAF OIL,CITRUS MEDICA ACIDA PEEL OIL EXPRESSED,ORMENIS MULTICAULIS FLOWER OIL,EUCALYPTUS SMITHII LEAF OIL,AMYLCYCLOPENTANONE,BUTYROPHENONE,3-ETHYLPHENOL,,,,,,,,0.222309711,0.412860892,0.470026247,0.228661417,0.127034121,0.184199475,0.393805774,0.177847769,0.203254593,,,,,,,,4342.8048,0.3,603.798935,orange,29
PER50-232,2,1,1,4,90.67,9.33,8,17,6.9,WATER,ETHYL ALCOHOL,2.43,COMMIPHORA ERYTHREA GLABRESCENS GUM OIL,ARTEMISIA HERBA-ALBA HERB OIL,ISOTRIDECYL ACETATE,"3,4-DIHYDRO-8-METHYLNAPHTHALENONE",2-METHYLFURAN-3-THIOL,2-HEXENOL,AMYL ALCOHOL,2-DODECENOL,,,,,,,,,0.57024,0.14256,0.30456,0.02592,0.00648,0.33048,0.53136,0.5184,,,,,,,,,4346.966,0.22,603.754,orange,45
PER82-90,5,1,1,3,90.67,9.33,10,58,6.9,WATER,ETHYL ALCOHOL,2.43,SALVIA OFFICINALIS LAVANDULIFOLIA HERB OIL,RAVENSARA AROMATICA TWIG OIL,ORMENIS MULTICAULIS FLOWER OIL,PINUS PALUSTRIS TWIG LEAF OIL,VITIS VINIFERA OIL,A-TERPINYL ACETATE,2-FURYL METHYL KETONE,2-DECENOL,2-DODECENOL,2-METHYLBUTANE-2-THIOL,,,,,,,0.251890244,0.459329268,0.197560976,0.029634146,0.385243902,0.143231707,0.444512195,0.177804878,0.133353659,0.207439024,,,,,,,4365.07045,0.19,603.5697,orange,23
PER99-80,4,2,0,2,90.66,9.34,8,51,6.9,WATER,ETHYL ALCOHOL,2.44,CITRUS NOBILIS LEAF OIL,TRIGONELLA FOENUM-GRAECUM SEED OIL,JUNIPERUS MEXICANA WOOD OIL,EUCALYPTUS SPECIES LEAF OIL,"6-ETHYLIDENEOCTAHYDRO-5,8-METHANO-2H-1-BENZOPYRAN-2-ONE",METHYLHEPTENONE ISOMERS,TRIMETHYL-VINYLTETRAHYDROFURAN-2-METHANOL,TETRAMETHYL-HEXADECATETRAEN-3-OL,,,,,,,,,0.533546667,0.364373333,0.026026667,0.188693333,0.637653333,0.104106667,0.383893333,0.201706667,,,,,,,,,4366.336,0.46,603.163575,orange,46
PER41-219,3,2,1,0,90.66,9.34,6,73,6.9,WATER,ETHYL ALCOHOL,2.44,CINNAMOMUM CAMPHORA LINALOOLIFERUM LEAF OIL,FOENICULUM VULGARE FRUIT OIL ,LAVANDULA SPICA HERB OIL,DIMETHYL-5-HEXENYL ACETATE,DIMETHYLCYCLOHEXENYL TERT-BUTYL KETONE,CYCLOHEXYLIDENECYCLOHEXANONE,,,,,,,,,,,0.294235294,0.624352941,0.366,0.430588235,0.545411765,0.179411765,,,,,,,,,,,4369.7706,0.34,602.994,orange,36
PER28-476,2,1,1,1,90.6,9.4,5,15,6.94,WATER,ETHYL ALCOHOL,2.46,MELILOTUS OFFICINALIS HERB OIL,LAVANDULA SPICA HERB OIL,"2,3,6-TRIMETHYLCYCLOHEXYLMETHYL ACETATE",CYCLOHEXYLCYCLOHEXANONE,TRIMETHYL-VINYLTETRAHYDROFURAN-2-METHANOL,,,,,,,,,,,,0.657251908,0.469465649,0.854427481,0.291068702,0.18778626,,,,,,,,,,,,4371.84742,0.45,602.9329863,orange,21
PER42-153,3,3,2,0,90.54,9.46,8,60,6.98,WATER,ETHYL ALCOHOL,2.48,LAVANDULA SPICA HERB OIL,CYMBOPOGON NARDUS HERB OIL,COMMIPHORA ABYSSINICA GUM OIL,CIS-3-HEPTENYL ACETATE,"2,4-HEXADIENYL ACETATE",PENTANEDIONE,BUTYROPHENONE,1-TRIMETHYL-2-CYCLOHEXENYL-1-PENTEN-3-ONE,,,,,,,,,0.16123839,0.10749226,0.422291022,0.360866873,0.545139319,0.614241486,0.176594427,0.092136223,,,,,,,,,4377.73285,0.36,602.92,orange,29
PER97-411,6,2,0,0,90.54,9.46,8,74,6.98,WATER,ETHYL ALCOHOL,2.48,LAVANDULA SPICA HERB OIL,JUNIPERUS MEXICANA WOOD OIL,ANETHUM SOWA SEED OIL,TRIGONELLA FOENUM-GRAECUM SEED OIL,CITRUS MEDICA ACIDA PEEL OIL EXPRESSED,ORMENIS MULTICAULIS FLOWER OIL,CYCLOHEXYLCYCLOHEXANONE,5-METHYL-2-HEPTEN-4-ONE,,,,,,,,,0.105982906,0.43982906,0.328547009,0.249059829,0.402735043,0.09008547,0.34974359,0.514017094,,,,,,,,,4385.816368,0.33,602.7615113,orange,30
PER18-111,5,3,1,4,90.56,9.44,13,75,6.96,WATER,ETHYL ALCOHOL,2.48,CYPERUS SCARIOSUS ROOT OIL,COMMIPHORA MYRRHA GUM OIL,ORMENIS MULTICAULIS FLOWER OIL,MELILOTUS OFFICINALIS HERB OIL,THUJOPSIS DOLABRATA LEAF OIL,TETRAHYDROMUGYL ACETATE,DIMETHYLCYCLOHEXYL METHYL KETONE,TRANS-5-OCTENONE,GAMMA-DODECALACTONE,DIMETHYLBENZYL CARBINOL,CARVACROL,2-METHYLFURAN-3-THIOL,TETRAMETHYL-HEXADECATETRAEN-3-OL,,,,0.379712919,0.142392344,0.130526316,0.280829346,0.067240829,0.126570973,0.047464115,0.371802233,0.114704944,0.015821372,0.257097289,0.316427432,0.229409888,,,,4397.57,0.35,602.7394,orange,64
PER49-443,4,3,2,4,90.55,9.45,13,75,6.97,WATER,ETHYL ALCOHOL,2.48,FOENICULUM VULGARE CAPILLACEUM FRUIT OIL,CITRUS SINENSIS VALENCIA PEEL OIL EXPRESSED,HELICHRYSUM STOECHAS FLOWER OIL,LEVISTICUM OFFICINALE LEAF OIL,M-TOLYL PHENYLACETATE,GAMMA-METHYLCINNAMYL ACETATE,DIMETHYLCYCLOHEXENYL TERT-BUTYL KETONE,"METHYL 2,6,10-TRIMETHYLCYCLODODECA-2,5,9-TRIENYL KETONE",TRANS-ROSE KETONE-5,SANTALOL,"2,6-DIMETHYL-4-HEPTANOL",TRIMETHYL-2-CYCLOHEXENOL,3-ETHYLPHENOL,,,,0.364820031,0.085383412,0.058215962,0.031048513,0.069859155,0.104788732,0.360938967,0.318247261,0.384225352,0.349295775,0.04657277,0.100907668,0.205696401,,,,4397.69,0.52,602.66,orange,38
PER36-256,6,1,0,3,90.47,9.53,10,31,7.02,WATER,ETHYL ALCOHOL,2.51,CITRUS SINENSIS VALENCIA PEEL OIL EXPRESSED,MELILOTUS OFFICINALIS HERB OIL,CYMBOPOGON NARDUS HERB OIL,LAVANDULA INTERMEDIA FLOWER/LEAF/STEM OIL,COMMIPHORA MYRRHA GUM OIL,ARTEMISIA HERBA-ALBA HERB OIL,"3,4-DIHYDRO-6-METHYLNAPHTHALENONE",2-METHYLBUTANE-2-THIOL,"2-HEXYL-1,3-DIOXANOL","6,8-DIMETHYL-2-NONANOL",,,,,,,0.099265537,0.382881356,0.602683616,0.028361582,0.262344633,0.177259887,0.560141243,0.063813559,0.326158192,0.007090395,,,,,,,4399.704,0.25,602.4815783,orange,30
PER30-589,5,1,2,3,90.46,9.54,11,83,7.03,WATER,ETHYL ALCOHOL,2.51,STYRAX BENZOIN RESIN OIL,OPOPANAX CHIRONIUM RESIN STEAM-DISTILLED OIL,SALVIA OFFICINALIS LAVANDULIFOLIA HERB OIL,CINNAMOMUM CAMPHORA FORMOSANA LEAF OIL RECTIFIED,BAROSMA BETULINA LEAF OIL,"3,5-DIMETHYLCYCLOHEXYLMETHYL ACETATE",GAMMA-METHYLCINNAMYL ACETATE,1-ACETONAPHTHONE,DIMETHYLPHENYL CARBINOL,GERANIOL,2-DODECENOL,,,,,,0.389946429,0.407875,0.277892857,0.094125,0.165839286,0.107571429,0.3765,0.210660714,0.089642857,0.246517857,0.143428571,,,,,,4402.871,0.36,602.3575,orange,42
PER90-143,3,2,1,0,90.47,9.53,6,84,7.02,WATER,ETHYL ALCOHOL,2.51,CYPERUS SCARIOSUS ROOT OIL,VITIS VINIFERA OIL,SANTALUM SPICATA WOOD OIL,3-HEXENYL ACETATE,3-BUTYL-4-METHYLPHENYL METHYL KETONE,CARVONE,,,,,,,,,,,0.481862464,0.179799427,0.553782235,0.107879656,0.525014327,0.661661891,,,,,,,,,,,4403.30256,0.52,601.9384313,orange,24
PER2-258,7,0,1,1,90.39,9.61,9,72,7.07,WATER,ETHYL ALCOHOL,2.54,THYMUS SERPILLUM OIL,STYRAX TONKINENSIS RESIN OIL,FOENICULUM VULGARE FRUIT OIL ,RAVENSARA AROMATICA TWIG OIL,CITRUS AURANTIUM LEAF OIL,HELICHRYSUM STOECHAS FLOWER OIL,COMMIPHORA SCHIMPERI GUM OIL,ETHYL PALMITATE,BETA-METHYL-CYCLODODECANEETHANOL,,,,,,,,0.423333333,0.404307116,0.280636704,0.318689139,0.190262172,0.271123596,0.299662921,0.313932584,0.038052434,,,,,,,,4407.9912,0.24,601.5530412,orange,26
PER75-48,7,2,1,1,90.37,9.63,11,18,7.08,WATER,ETHYL ALCOHOL,2.55,PELARGONIUM CRISPUM LEAF OIL,CITRUS PARADISI M. PEEL OIL EXPRESSED,PINUS MUGO PUMILIO TWIG LEAF OIL,THUJA PLICATA LEAF OIL,PINUS PALUSTRIS TWIG LEAF OIL,FOENICULUM VULGARE FRUIT OIL ,CITRUS NOBILIS LEAF OIL,GAMMA-METHYLCINNAMYL ACETATE,HYDROXYCITRONELLAL DIMETHYL ACETAL,DIMETHYLCYCLOHEXENYL TERT-BUTYL KETONE,CARVACROL,,,,,,0.3027897,0.284549356,0.313733906,0.175107296,0.331974249,0.211587983,0.295493562,0.277253219,0.021888412,0.178755365,0.156866953,,,,,,4425.538428,0.63,601.1153513,orange,44
PER42-500,7,2,1,4,90.38,9.62,14,54,7.07,WATER,ETHYL ALCOHOL,2.55,CINNAMOMUM CAMPHORA LINALOOLIFERUM LEAF OIL,ROSMARINUS OFFICINALIS FLOWER OIL,THYMUS SERPILLUM OIL,CYMBOPOGON NARDUS HERB OIL,ARNICA MONTANA FLOWER OIL,CYPERUS SCARIOSUS ROOT OIL,OPOPANAX CHIRONIUM RESIN STEAM-DISTILLED OIL,METHYL-OCTAHYDRO-DIMETHYLAZULENYLETHYL ACETATE,1-TRIMETHYL-2-CYCLOHEXENYL-1-PENTEN-3-ONE,DELTA-UNDECALACTONE,BETA-PINEN-3-OL,FARNESOL,PINACOL,2-DECENOL,,,0.139859694,0.273214286,0.019515306,0.295982143,0.169132653,0.305739796,0.308992347,0.165880102,0.322002551,0.058545918,0.055293367,0.081313776,0.237436224,0.117091837,,,4427.0192,0.39,600.68,orange,72
